Montreal 1976,PUR,NULL,NULL
Rome 1960,ESP,NULL,NULL
Seoul 1988,HUN,NULL,NULL
Helsinki 1952,VEN,NULL,NULL
Moscow 1980,MEX,NULL,NULL
Athens 2004,SWE,NULL,NULL
Helsinki 1952,EGY,NULL,NULL
Tokyo 1964,URS,NULL,NULL
Beijing 2008,EST,NULL,NULL
Athens 2004,BAH,NULL,NULL
Rome 1960,YUG,NULL,NULL
Rome 1960,ROU,NULL,NULL
London 1948,POR,NULL,NULL
Sydney 2000,AUS,NULL,NULL
Seoul 1988,CHN,NULL,NULL
Berlin 1936,ROU,NULL,NULL
Los Angeles 1984,CAN,NULL,NULL
Sydney 2000,KSA,NULL,NULL
Moscow 1980,GBR,NULL,NULL
London 2012,AFG,NULL,NULL
Atlanta 1996,FRA,NULL,NULL
Berlin 1936,EST,NULL,NULL
Melbourne / Stockholm 1956,JPN,NULL,NULL
Stockholm 1912,DEN,NULL,NULL
London 1908,USA,NULL,NULL
Atlanta 1996,TRI,NULL,NULL
Sydney 2000,ARM,NULL,NULL
Tokyo 1964,ETH,NULL,NULL
Atlanta 1996,SYR,NULL,NULL
Beijing 2008,ISR,NULL,NULL
Munich 1972,ITA,NULL,NULL
Rome 1960,TUR,NULL,NULL
Los Angeles 1984,BRA,NULL,NULL
Seoul 1988,JPN,NULL,NULL
Stockholm 1912,ANZ,NULL,NULL
Beijing 2008,FIN,NULL,NULL
London 2012,ITA,NULL,NULL
Berlin 1936,TUR,NULL,NULL
Paris 1924,EST,NULL,NULL
Mexico 1968,NED,NULL,NULL
Montreal 1976,FRG,NULL,NULL
Seoul 1988,NZL,NULL,NULL
Moscow 1980,HUN,NULL,NULL
Antwerp 1920,FIN,NULL,NULL
Berlin 1936,FIN,NULL,NULL
London 1948,BRA,NULL,NULL
Mexico 1968,TCH,NULL,NULL
Los Angeles 1984,KEN,NULL,NULL
London 2012,GRE,NULL,NULL
Montreal 1976,THA,NULL,NULL
Moscow 1980,POL,NULL,NULL
Helsinki 1952,POR,NULL,NULL
Amsterdam 1928,CHI,NULL,NULL
London 2012,KUW,NULL,NULL
Barcelona 1992,BEL,NULL,NULL
Sydney 2000,EST,NULL,NULL
Paris 1924,HUN,NULL,NULL
Los Angeles 1932,SWE,NULL,NULL
Atlanta 1996,UZB,NULL,NULL
Atlanta 1996,DEN,NULL,NULL
Barcelona 1992,TPE,NULL,NULL
Beijing 2008,LTU,NULL,NULL
Seoul 1988,DEN,NULL,NULL
Moscow 1980,CUB,NULL,NULL
Beijing 2008,USA,NULL,NULL
Sydney 2000,ARG,NULL,NULL
Athens 2004,EST,NULL,NULL
London 2012,THA,NULL,NULL
Amsterdam 1928,SWE,NULL,NULL
Melbourne / Stockholm 1956,TCH,NULL,NULL
Rome 1960,USA,NULL,NULL
Montreal 1976,NED,NULL,NULL
Berlin 1936,USA,NULL,NULL
Tokyo 1964,TRI,NULL,NULL
Moscow 1980,YUG,NULL,NULL
Sydney 2000,BEL,NULL,NULL
Beijing 2008,JPN,NULL,NULL
Seoul 1988,DJI,NULL,NULL
London 2012,SRB,NULL,NULL
Amsterdam 1928,ITA,NULL,NULL
Paris 1924,JPN,NULL,NULL
Beijing 2008,ECU,NULL,NULL
Los Angeles 1984,EGY,NULL,NULL
London 2012,IND,NULL,NULL
Atlanta 1996,ZAM,NULL,NULL
London 1908,GBR,NULL,NULL
Beijing 2008,SLO,NULL,NULL
London 2012,ARG,NULL,NULL
Beijing 2008,UZB,NULL,NULL
Antwerp 1920,AUS,NULL,NULL
Beijing 2008,KEN,NULL,NULL
Barcelona 1992,FIN,NULL,NULL
Barcelona 1992,AUT,NULL,NULL
London 1948,EGY,NULL,NULL
Athens 2004,CHN,NULL,NULL
Barcelona 1992,NZL,NULL,NULL
Stockholm 1912,HUN,NULL,NULL
Sydney 2000,USA,NULL,NULL
Beijing 2008,ZIM,NULL,NULL
Beijing 2008,DEN,NULL,NULL
Melbourne / Stockholm 1956,USA,NULL,NULL
Montreal 1976,DEN,NULL,NULL
Seoul 1988,INA,NULL,NULL
London 2012,GAB,NULL,NULL
Sydney 2000,GEO,NULL,NULL
Amsterdam 1928,HUN,NULL,NULL
Los Angeles 1932,LAT,NULL,NULL
Beijing 2008,SUI,NULL,NULL
Rome 1960,SWE,NULL,NULL
Munich 1972,NIG,NULL,NULL
Athens 2004,USA,NULL,NULL
Atlanta 1996,IRI,NULL,NULL
London 1908,NOR,NULL,NULL
Berlin 1936,SWE,NULL,NULL
Helsinki 1952,AUS,NULL,NULL
Mexico 1968,ETH,NULL,NULL
Beijing 2008,THA,NULL,NULL
Tokyo 1964,IRI,NULL,NULL
Atlanta 1996,MAS,NULL,NULL
Sydney 2000,CZE,NULL,NULL
Berlin 1936,SUI,NULL,NULL
Los Angeles 1984,POR,NULL,NULL
Athens 2004,GEO,NULL,NULL
