5783,Atlanta 1996,USA
18159,Los Angeles 1984,BRA
11937,Munich 1972,JPN
11316,Berlin 1936,NED
11352,Paris 1924,FRA
1223,Melbourne / Stockholm 1956,POL
19047,London 1948,ITA
18700,Melbourne / Stockholm 1956,JPN
17064,Munich 1972,JPN
4748,Melbourne / Stockholm 1956,FIN
16556,Atlanta 1996,BAH
11464,Athens 2004,USA
8200,Sydney 2000,CHN
9739,Seoul 1988,NED
18100,Munich 1972,TCH
15890,Stockholm 1912,AUT
8963,Amsterdam 1928,NED
18304,Athens 2004,ARG
1776,Los Angeles 1984,CAN
20093,Stockholm 1912,SWE
18400,Antwerp 1920,CAN
11695,Stockholm 1912,DEN
11735,Moscow 1980,GDR
15023,Paris 1900,NED
19212,Athens 2004,BRA
4882,Seoul 1988,URS
22503,Atlanta 1996,FRA
21272,Beijing 2008,ITA
20599,Paris 1900,FRA
21505,Rome 1960,JPN
7167,Tokyo 1964,URS
21276,Helsinki 1952,HUN
14065,Barcelona 1992,GER
7309,Los Angeles 1984,USA
10329,Moscow 1980,GBR
19976,Atlanta 1996,BRA
15281,Moscow 1980,URS
10233,Tokyo 1964,JPN
15076,Los Angeles 1984,CAN
5148,Montreal 1976,URS
16776,Melbourne / Stockholm 1956,YUG
15430,Munich 1972,BUL
19790,Barcelona 1992,CUB
13582,Moscow 1980,URS
13469,Moscow 1980,GRE
883,London 2012,USA
15424,Seoul 1988,HUN
22008,Rome 1960,EUA
15437,Tokyo 1964,JPN
5642,Seoul 1988,KOR
11773,Berlin 1936,GER
1438,Munich 1972,CUB
15764,Berlin 1936,GER
7607,Moscow 1980,GDR
14569,Amsterdam 1928,ITA
2773,Amsterdam 1928,RSA
7015,Stockholm 1912,GER
5064,Amsterdam 1928,JPN
4353,London 2012,TUR
4526,Mexico 1968,NED
5658,Paris 1900,GBR
15967,Barcelona 1992,EUN
13190,Mexico 1968,URS
16931,London 1908,GBR
17009,Los Angeles 1984,JPN
6338,London 2012,GBR
1034,Athens 2004,GER
2044,Tokyo 1964,ITA
16979,Helsinki 1952,FRA
8827,Munich 1972,JPN
18966,Athens 2004,RUS
6314,Beijing 2008,HUN
15179,Seoul 1988,URS
14803,Tokyo 1964,URS
10926,Los Angeles 1984,GBR
19528,Beijing 2008,UKR
13866,Montreal 1976,URS
20590,Mexico 1968,URS
7967,Berlin 1936,SWE
10374,Helsinki 1952,USA
1197,Beijing 2008,TUR
12657,Antwerp 1920,NED
14131,Moscow 1980,URS
17386,Berlin 1936,NOR
5263,Athens 2004,THA
19606,Montreal 1976,BUL
13018,Montreal 1976,GDR
6589,Sydney 2000,AUS
19295,Stockholm 1912,GBR
7154,Helsinki 1952,TCH
15607,London 2012,MEX
13574,Mexico 1968,AUS
